X,Y
0,30633
1,30927
2,30860
3,30870
4,30884
5,30539
6,30367
7,30194
8,30058
9,29957
10,29939
11,29871
12,29845
13,29851
14,29933
15,30038
16,30106
17,29947
18,29796
19,29630
20,29086
21,28491
22,27503
23,26478
24,25605
25,24928
26,24409
27,24033
28,23807
29,23551
30,23246
31,22789
32,22222
33,21663
34,21262
35,20906
36,20588
37,20209
38,19753
39,19348
40,18972
41,18590
42,18252
43,17945
44,17631
45,17354
46,17067
47,16788
48,16536
49,16252
50,15953
51,15700
52,15409
53,15151
54,14883
55,14592
56,14356
57,14121
58,13887
59,13694
60,13470
61,13260
62,13078
63,12866
64,12695
65,12529
66,12331
67,12151
68,11966
69,11761
70,11603
71,11428
72,11254
73,11113
74,10935
75,10797
76,10664
77,10508
78,10388
79,10249
80,10111
81,10011
82,9874
83,9739
84,9629
85,9492
86,9377
87,9281
88,9162
89,9042
90,8958
91,8850
92,8746
93,8668
94,8565
95,8464
96,8395
97,8294
98,8199
99,8127
